s1,cluster_result
플랫폼 관리 전문가 전담전보·전보·보직  ,2
"1. 도정 정책에 대하여 한눈에 알 수 있는 자료를 정리 배포 (개인적으로..도정정책이 구체적으로 어떤 것들이 있는지 모르겠습니다)
2. 직원들의 개인적인 관심사(여행, 육아 등)를 파악 및 분류하여 개인별 관심있을 정책들에 대한 관심 및 참여 유도
  (예를들어 자녀가 20대 대학생인 경우 육아에 대한 정책보다는 자녀가 취업을 잘 할수 있도록 청년정책에 더욱 관심이 있을수 있을꺼 같습니다)",7
.,5
수요자 중심 필요 정보 및 홍보 방법,4
정책수요자 위주의 행정 추진 교육훈련,7
"직원들이 도정의 정책에 대한 이해도 부족한 상태임
현재 자신의 업무에 국한되어 일을 하지 도정 전체의 정책에 대해서는 관심이 없다.
직원들의 역량이나 지식 함양이 우선되어야 정책소통을 하지 그렇지 않으면 하고 싶어도 할 수 없다.",7
"장담컨대, 정책소통플랫폼은 의도한 효과는 적게 보고, 행정력 낭비가 압도적으로 클 것임. 행정실무, 민원업무를 본 사람들은 아마 모두 공감할 것.",0
실제 현장 교육훈련,7
현장중심의 업무처리 교육훈련,7
"고객들의 의견 등을 검토하고 진지하게 고민하는 과정이 필요합니다. 직원들의 의식의 문제라고 생각합니다.
조금더 진취적으로 받아들이려고 하는 노력이 필요합니다.
그래서 감사에 대해 자유로와야 할 것이며, 직원 역량강화도 필요하다고 생각합니다.",5
"직원들의 교육훈련과 지원이 필요한 것이 아니라, 직원들이 적극 참여할 수 있는 환경과 시간이 주어져야함.",5
플랫폼 운영관리 직원의 업무부담 경감. ,1
"나이별, 직급별 개인 역량 특성에 따라 맞춤형 교육훈련 실시",7
직장 구성원들 간 상호 이해 할 수 있는 조직문화 형성 필요,4
"기존의 일부터 줄여서 직원들이 여유가 있어야 새로운 일을 하는데, 일몰제를 적용하여 기존 일은 줄이고, 새로운 일을 시작해야 함.",1
정책소통플랫폼이 또다른 업무를 가중해서는 안되고 운영기준이 마련되어야 함,1
서로 소통할 수 있는 정보 제공,4
.,5
긍정적이거나 부정적인 사항 모두에 대하여 열린마음으로 정책고객을 대할수 있는 마인드 교육훈련,7
"도민과 소통하는 다양한 방법에 대한 길을 제시하고, 창의적인 의견과 시도가 반영될 수 있는 환경 조성",7
통일된 플랫폼 구축 및 사용법 관리,1
" 실국 또는 부서단위로 정책소통플랫폼을 구성한다고 해도, 시스템을 통한 통일성 구현도 중요할 것이다. 
 대부분의 부서에서 인력이 부족한 상황에서 플랫폼 운영 업무까지 더해진다면 직원들의 고충이 늘어날 수 있을것 같다. ",2
소통관련 교육훈련을 실시해야함,1
"스마트폰 데이터비 지원, 사용성과에 따른 포인트(경남사랑상품권 등) 지급",3
정책고객 선정을 현행 유관기관이나 단체 위주가 아닌 현장에 종사하는 도민을 구성하여 그들의 목소리가 정책에 반영될 수 있도록 정책고객 발굴을 지원해야 함,0
정책고객 소통플랫폼을 활용하여 활발히 활동하는 직원에 대한 인센티브 지원 필요,3
정책의 최종적인 목표와 방향의 정확한 인식이 필요함,1
교육훈련보다는 간부들의 인신변화(간부교육훈련),0
보고를 위한 보고 등 불필요한 업무감소와 토론이 아닌 지시중심의 업무처리가 개선되어야 함,0
"sns활용 방법, 이 일이 내업무에 과중된다는 인식을 고쳐야함. ",4
"밴드,블로그 등 활용방법",1
"보고체계 개선과 창의적 생각이 나올수 있도록 사무환경 개선이 시급하며, 6급 이하 담당자들도 업무에 필요한 자기계발(관련 자격증 취득 등)을 한 직원들이 많은데 이런 사람들을 알맞은 전보·보직에 투입하여 하나, 인사과에서는 관리를 하고 있지 않은 것 같음....",8
현장 중심의 행정이 필요함.. 직원들에게 자주 고객들과 대화하고 만날수 있는 네트워크구축이 우선되어야 할 것으로 사료,1
..,5
잘 모르겠음,1
"부서간 업무량의 정확한 근평을 통한 인력의 균형 전보·전보·보직이 필요, 일에 치여서 새로운 정책이나 성과에 대해 생각할 시간조차 없는 실정임",2
"분명한 사무분장, 가독성을 높이는 홍보,마케팅 기법, 이미지편집프로그램 등  교육훈련",4
인력충원,1
성공사례의 상세한 예시를 쉽게 알려주는 것. ,0
정책에 대한 심도있는 자기 개발,7
"공무원 마인드를 벗어버려야 함.
공무원이 아닌 사람들한테 공무원스러운 소통을 하려고 하는 것이 진짜 문제임. 
공무원들은 진짜 사회를 너무 모름. 직원들을 한 일년씩 공장이나 공사장에 현장인사인사교류를 좀 시키면 좋겠음. 
소통을 하고 싶으면 공무원들이 (충주시 김선태 주무관 같은) 똘끼가 있어야 함  ",0
사례 교육훈련,7
SNS사용 및 활용 교육훈련,5
. ,5
"sns 관련 교육훈련, 통신비 지원",8
규제 완화(자유로운 소통이 가능하도록),1
업무의 전문성 제고와 내부소통 강화 및 조직활성화 필요,4
.,5
sns 활용방법 교육훈련 ,7
소통 방안 및 관리 방법 교육훈련/ 과도한 업무분장 지양,4
플랫폼을 위한 플랫폼이 되면 업무만 증대될뿐입니다.,0
정책소통플랫폼 접근방법 간소화 등을 통한 자율적 교육훈련 참여 유도,2
"고객마인드 함양에 대한 교육훈련이 필요하며, 적극행정을 추진할 수 있도록 좀 더 폭넓은 업무관련 면책 보장과 1인당 업무량을 줄여 현장에 다가갈 수 있는 여유를 만들어주는 것이 필요함(업무다이어트 절실)",8
직원들간의 밀접한 인사교류,1
의무교육훈련과 연계하여 인센티브 부여하는 방법,4
"도민이 쉽게 이해할수있게 언어교육훈련, 이해를 돕기위한 사진 촬영이나 포토샵 교육훈련 등",1
플랫폼 이용에 대한 이점과 홍보가 필요할것 같습니다.,7
"도정은 다양한 분야의 일이 존재하고 그 일들은 도민 정책수요자에게 갑니다. 이렇게 행정서비스를 해왔습니다. 그 정책의 수혜자는 행정의 생리를 잘 알고 있는 사람은 그 서비스를 잘 받고 많이 받고 있지요, 그 서비스를 받지 못하는 도민은 아무리 좋은 행정서비스라도 수혜를 체감하지 못하지요. 그러한 정책의 홍보를 위하여 소통플랫품을 만들고 하지만 그 플랫폼 역시 기존 행정 생리를 잘 아는사람이 더 빠르게 정보를 입수하게 되어 행정서비스가 개인별 편차가 생길 수 있다고 생각합니다. 우리조직은 경직되고 폐쇄적이고 이기주의적인것 같아요, 또한 전문성도 떨어지는 경우도 많고요, 성과에 대한 근평 또한 그렇고, 조직 개편에 있어서도 조직에 대한 세부적인 근평을 못하고 부서에서 제출한 자료만으로 판단하는 것 같고

이에 대한 해소를 위해서는 직원들이 소통을 할 수 있는 기회를 많이 주어야 할듯합니다. 한 사람이 여러 부서에서 근무할 수 있는 기회로 안목을 높여서 각 부서별 도정목표를 이행할 세부 이행목표를 만들어 그 이행목표가 정책수혜자에게 어떻게 다가가고 실제로 도움이 될 수 있는지를 근평 지표화 하여 실질적인 행정서비스가 이루어 질 수 있도록 하여야함.",7
"업무 소통 및 협조 교육훈련, 플랫폼 지원 및 활용방안 등",3
정책에 대한 직원들의 정확한 업무 이해와 업무분담에 대한 유연한 자세,7
참여하는 방법 교육훈련,4
대민 접점에서의 소통방법,1
수요자 중심의 사고를 할수있는 교육훈련이 필요합니다. ,8
효과적인 플랫폼 사용 방법,4
모든 소통은 공감에서 시작함. 공감이 선행된 교육훈련이 실시되어야 한다고 생각함,8
성과 위주 접근이 아닌 좀 장기적인 관점의 접근이 필요할듯 함,5
필요성 인식 교육훈련 및 정책소통플랫폼 자체가 또 하나의 업무과중으로 다가가지 않도록 구조화 필요,6
플랫폼구축을 통한 성공사례에 대한 교육훈련,2
적절한 대국민 소통 방법 교육훈련과  악성 민원인 또는 민원으로부터 직원 보호 대책 강구 필요,4
공식입장이 아닌 직원들의 자유로운 의사소통 보장,1
"조그만 말실수, 행동실수에도 쏟아지는 비난과 공무원 품행을 말하는 조직에서는 아무리 플랫폼이 좋아도 소통이 불가능합니다.
자유로운 발언과 자기 주장이 가능해야만이 고객들과의 소통도 가능합니다.
말한마디, 글한줄도 국장, 과장결재가 나야하는 상황이면 실시간 소통은 불가능합니다. 그저 단순 민원처리만 가능하겠지요
그러면 일만 늘어납니다.",0
담당 직원들이 정책소통플랫폼 관리와 운영을 위한 추가 업무(가중)가 되지 않도록 전문인력을 전보·전보·보직하여 운영 필요 ,6
너무 우리도만 생각하지말고 큰 그림으로 현장중심적인 대기업에서 일하는 방식을 교육훈련,7
적절한 인센티브 제공,3
.,5
#NAME?,9
"자율,인센티브",3
-,5
"플랫폼을 정착시키기 위한 도민과의 소통역량 배양, 정책 전반을 두루 아우를수 있는 연공서열이 어느정도 되는 직원이 관리하는 것이 필요함
플랫폼 운영 등은 정보빅데이터담당관실에서 검토가 필요함",0
미작성,1
"의무, 강제적 업무가 아닌 자발적 참여가 가능한 업무 분위기와 다양한 소통 의견 수렴 채널 구성",0
직원 충원,1
보고중심업무보다 현장중심 업무필요 ,1
SNS 활용 방법,4
"도민과 소통하기 위하여 회의 등을 위해서는 너무 많은 에너지가 필요하여, sns를 활용하는 것이 좋은데 업무를 하면서 하는것은 직원들 입장에서는 힘듦. 

하루 정도는 관계부서 직원이 모두 자유롭게 참여하여 도민과 소통할 수 있도록 하는것이 필요 ",4
공개 관련 교육훈련 및 시스템 활용법,8
"주입식 전문가 교육훈련보다는 직접 체험할 수 있는 교육훈련제도 마련, 업무에 무리가 없는 범위내에서 실시할 수 있도록 교육훈련 기간 등도 조정 필요 ",2
잘 모르겠음,1
공무원에게 또하나의 고민스러운 쓸데없는 일거리가 되지않도록 접근성과 편리성 용이,0
이게 서무들이 한다고 됩니까 ? 반영이 되나요 ? ,1
"상사들의 결재, 상사취향, 상사입맛에만 맞는 딱딱한 업무보고, 보도자료식의 홍보자료가 아닌 젊은 직원들의 시각과 관점, 아이디어를 수용하여 현시대 흐름에 맞는 SNS 등의 정책소통 플랫폼 운영  / 또한 관련업무 전속담당직원 선정하여 플랫폼 지속 운영 및 홍보 필요. 도민들은 도에서 지원하는 사업들을 알지못해서 참여하지 못하는 경우가 더많음.  지속적인 홍보와 정보노출을 통해서 최대한 많은 도민들이 참여하고 체감할 수 있는 도정정책을 실행할 수 있어야함. 좋은 사업을 만드는 것도 좋지만 그전에 가장 중요한것은 도민들이 알게 하는 것임.
  ",4
현장의 요구를 반영하여 빠르게 소통할 수 있는 방법의 교육훈련,7
직원들부터가 정책에 대한 이해가 있어야하고 결과중심과 보고중심의 업무추진으로 비효율적인 진행이 되지 않도록 간부공무원 등 교육훈련이 필요함. 또한 SNS등 활용 시 젊은 직원들에게만 시키는 경향이 있으니 6급이상 직원들에게 SNS관련 교육훈련 지원도 필요,8
"소통 체계의 단순화, 구어체 형태의 친근한 소통법과 실시간 소통이 가능한 업무 환경",0
정책의 중요성에 대한 교육훈련,7
담당자의 권한 강화,1
고객의 입장에서 소통하기 쉬운 플랫폼을 운영할 수 있도록 다양한 플랫폼들의 운영실태와 성과에 대한 교육훈련이 필요하다고 생각합니다.,8
"직원들에게 정책소통플랫폼에 대해 충분히 알리고, 또 이용방법과 같은 전반적인 사항에 대해 체계적인 교육훈련과 메뉴얼이 만들어지는 것이 좋을 것 같습니다.",5
"성공 사례 교육훈련, 현장활동 지원",3
공감교육훈련,1
"정책소통의 이해(취지, 목적 등) -&gt; 목적을 달성할 수 있는 소통방법 -&gt; 정책소통플랫폼의 기술적인 활용방법",0
정책소통플랫폼이 뭔지 교육훈련 필요,4
전담직원 지정 및 직원간 적극 협조(자료 공유 등),1
"정책을 추진하는데에 필요한 기획, 보고, 홍보, 예산지원 등의 전담인원을 넉넉히 차출하여 하나의 부서로 만들고 다른 직원에게 강요하거나 하면 안됨
자기 일도 바쁜데 또다른 업무추가로 여겨지면 더 참여율은 저조할 것임",4
유형별로 모범 사례를 발굴하고 플랫폼 구성부터 운영까지 메뉴얼화 하여 점차적으로 확산방식으로 운영 바람직,0
적극행정 교육훈련,7
"처음부터 정책이 소통된다는 의식 개선, 수직적인 조직 분위기에서는 정책소통플랫폼은 단시간내 정착되기 어려울 것으로 판단",0
외압과 강제적지시 없이 소신껏 일할수 있는 환경,0
민간인과 협업할 수 있는 소통력 강화,1
"성공사례에 관한 내용 공유, 담당자 자율로 운영할수 있는 권한, 성과에 대한 독촉 지양",7
플랫폼 참여에 대한 당위성 교육훈련 및 근평에 반영,7
본연의 업무부터 철저히 하면 새로운 정책에 대해 자유로운 의견개진의 장 조성 필요,4
정확한 목표와 목적 제시,1
"(교육훈련) 제시되는 의견의 긍정적 검토 필요성
(지원) 업무량 증가에 따른 인원 증원과 인센티브 제공",3
플랫폼에 대한 최신 트렌드 관련 교육훈련이 필요,8
"도민에 대한 소통도 중요하지만 
직원들간의 정책소통도 중요함",7
제안 사항은 무조건 긍정적으로 검토하는 자세,1
없음,1
"플랫폼에 거론되는 의견으로 인해 업무가 너무 늘어나버리면 직원들이 너무 힘들어질 것 같습니다. 
취지는 좋지만 적당히 업무화 될 수 있도록 과정이나 추진에 있어 신중을 기해 주셨으면 합니다. 
플랫폼으로 인한 부정적 효과들이 최소화 된다면 크게 직원들에게 교육훈련과 지원은 필요없을 듯합니다. 
(이미 직원들은 업무를 어떻게 처리해야 될지 알고 있으니까요...)",8
정책소통플랫폼이 뭔지 정확하게 모르겠음. ,1
. ,5
"플랫폼의 명확한 목적과 활용 범위, 성과 연계 등에 대한 교육훈련과 지원이 필요합니다.",5
"다양한 정책들을 도민에게 알리려면 홍보가 중요함. 홍보를 전담할 직원을 구성하여 바뀌는 정책들을 홍보하고 실시간으로 소통할 수 있는 플랫폼이 필요.
전담직원 구성하여 홍보교육훈련 및 플랫폼 구성 예산 일괄 확보 필요",6
힐링을 만끽할 수 있는 교육훈련,7
"플랫폼의 성공적 정착은 다양한 의견들을 빠르게 대응하는데 있음(고성군 밴드의 경우 공무원이 불편해소 양방향 소통 유지)
사업부서인 경우 정책소통플랫폼은 민원창구로 대변될 수 있으므로 답변은 반드시 사무관이나 부서장이 해댜함
그렇지 않으면 직원님들이 일과중 많은 시간은 밴드등 플랫폼을 관리해야하기 때문이며
또한 담당계장이나 부서장이 답변하게되면 융합적인 소통이 될수 있음
따라서 플랫폼 만들것이면 직원님들에게 교육훈련, 지원 이런것하지 말고 실질적인 도움이 되도록 고민하는게 우선임",0
한명의 담당자가 플랫폼을 끌고가면서 입력과 관리할것이 아니라 구성원 모두가 플랫폼 내에서의 관리자 역할을 해야 활성화 될듯합니다,0
#NAME?,9
"직원에게 인센티브 부여, 관리자는 지시 위주 연공서열 탈피",3
유연한 판단과 과감한 결정을 위한 조직문화 정착과 간부 교육훈련 ,0
"정책소통플랫폼을 운영하기 위해선 부서 업무를 잘 알고 있는 직원이 담당하여 각 부서원에게 전파 및 상세내용을 전달해 줄 수 있다고 생각합니다.
그러나 이 업무를 과서무에게 맡긴다면 서무라는 명목하에 많은 업무를 감당하고 있는 현재 상황으로썬 이 업무를 전담으로 할 수 잇는 직원 전보·전보·보직이 필요하다고 생각합니다.",1
"- 소통플랫폼 운영의 필요성에 대한 공감이 우선되어야 할 것으로 보이며, 새로운 업무부담이 수반되기 때문에 모범적으로 운영되는 부서(직원)에게는 성과에 대한 인센티브(업무추진비 등)가 부여되야 할 것으로 보임",7
업무량 감소,3
플랫폼의 접근성이 높아야 되고 이러한 어려운 부분이 없도록 설계해서 교육훈련을 해야 함,5
트렌드 관련 교육훈련,8
사이버교육훈련보다 대면교육훈련이 더 필요할 것 같습니다.,0
"정책 고객과의 소통이 중요하다는 인식은 되어 있지만, 구체적인 대상 확정과 방식에 대한 이해가 부족하다고 생각.. 모범적 사례에 대한 지속적 공유와 가능한 시나리오 등을 공유해서 직원들의 발상 전환 및 착안 컨셈을 공유하면 좋을 듯 합니다. ",7
정책소통플랫폼 사전 홍보 필요,4
취지와 필요성에 대해서 명확하게 알려주는 교육훈련이 필요할 것같습니다.,8
수직적업무구조 탈피,0
직원들이 참여할 수 있도록 홍보수단 마련,0
.,5
실국별 소통 등 전문부서 필요,4
부서단위 직원 교육훈련,7
정책 수요자들과 직원들 간의 소통의 기회가 많이 필요할 거 같습니다. 공청회같은 딱딱하고 다가가기 어려운 느낌이 아닌 쉽게 다가갈 수 있는 방법을 개발하면 좋겠습니다. SNS활용도 좋으나 개인적으로 참여율이 높지 않을 거 같아 문제일 거 같습니다. ,1
없음,1
시간적 여유와 알기 쉽고 이용이 쉬운 플랫폼 필요,4
연간 1시간 이상의 집합교육훈련 필요,4
플랫폼 구성 과정에의 직원들의 참여,1
적극적인 홍보정책 필요,4
#NAME?,9
"플랫폼 운영의 필요성 교육훈련, 지속적인 관리가 가능할 수 있도록 사용의 편의성",3
화합하고 소통하는 분위기 형성,1
"인터넷을 이용한 정책소통플랫폼은 참여 연공서열대가 제한적이고 특정인에게 방향성이 맞춰질 수 있음.
현재도 도에서 운영중인 여러 플랫폼이 있으나 도민의 참여가 제대로 이루어지지 않고있음. 
인터넷의 여러가지 채널을 만드는 것 보다 온. 오프라인. 전화설문조사 등 전계층의 의견을 전체적으로 조사할 수 있는 방법이 필요함...
또한 직원에게 플랫폼 정착을 위한 여러 교육훈련을 시키기보다 직원들이 자발적으로 관심을 가지고 임할 수 있는 환경을 만들어주는 것이 필요함
지금의 상태에서 플랫폼을 구성하고 직원에게 교육훈련까지 시키는 것은 업무만 늘어나는 것임",0
도민이 실질적으로 원하는 것을 파악하기 위한 현장 직접체험 및 그에 따른 교육훈련 등이 필요한 것 같음.,1
"조직구조 개선 및 부서간 협업, 수평적인 조직문화",1
만들어진 정책에 대한 정확하고 객관적인 근평 필요,8
#NAME?,9
플랫폼 이용 방법 등 담당자를 위합 업무 매뉴얼 작성 및 안내,4
유연한 사고가 가능하도록 조직문화 개선,1
"다양한 의사전달 역량 교육훈련 필요, 독서 및 영화 관람 지원",3
정책소통 플랫폼을 전문으로 관리할 전문가(담당자) 필요,2
적극행정 면책,0
개인별 맞춤형 교육훈련,7
"정책소통 및 알림을 위한 밴드, 블로그 SNS의 올바른 활용법 및 사용 꿀팀 교육훈련 ",0
.,5
.,5
플랫폼 구축에 따른 본인이 직접 시행하고 있는 정책 및 사업을 신속하게 알릴 수 있는 방안(기법) 필요,3
간부회의 등 정책결정과정을 청내방송을 통해 공개,0
정책의 확실한 이해와 성과에 따른 인센티브 지원,3
^^,5
"정책고객과의 소통방법, 플랫폼 제작, 적극적인 참여 방안 등",1
정책소통에 관한 교육훈련 횟수를 늘려야 한다고 생각합니다. ,7
전문가 초빙을 통한 교육훈련,2
"소통플랫폼 관련 영상,편집 등 기술적 부분 교육훈련",8
"정책고객에 대한 교육훈련 및 협업시스템, 기존 업무추진과는 다른점(어렵고 느리고 힘이 듦)을 설득하고 쉽게 업무추진할 수 있는 방향 제시",7
"플랫폼구축와 운영에 대한 노하우 교육훈련, 정보통신분야 스마트기기 운영 교육훈련",7
"주요 사업에 한하여 정책소통플랫폼을 작성 운영 해야 한다는 직무교육훈련, 전산교육훈련 실시 필요",4
"밴드, 블로그 등 실제로 운영 할 수있는 교육훈련이 필용.",8
정책소통 플랫폼의 필요성,5
"간단한 답변으로 끝낼 것을 국민신문고 답변처럼 형식적인 틀과 문구를 사용하여야 하는데 따른 시간낭비와 결재라인이 
신속한 소통을 방해한다고 생각합니다. ",3
1,5
플랫폼 게시물 작성을 위한 출장 및 추가금 지급,0
"정책소통플랫폼 의미가 너무 어렵습니다. 누구가 쉽게 다가갈 수 있도록 활용하게 만들어야 합니다. 교육훈련은 실제 현장에 맞는 교육훈련이 필요하고 포상, 가점, 해외여행 등 체감하는 인센티브가 있어야 할 것 같습니다.",6
직원복지 향상과 성과 상여금 인상 등 실제적인 보상이 필요함,5
#NAME?,9
딱딱하고 연공서열적인 상하복명 업무처리가 아닌 실무자와 수요자의 의견이 적극 반영될 수 있도록 인식 개선 교육훈련이 필요,8
인재개발원 등 집합교육훈련,0
"구성원들의 관심사항 파악, 적시 정보제공 등",0
"플랫폼의 의견은 도민 일부의 생각일 뿐인데 그걸 반드시 정책화시킨다던지 하는 것은 조금 위험한 생각인 것 같음
현재 업무에서 추가되는 느낌이 들기때문에 가능한한 지금 있는 제도를 변형해서 활용하는 것이 좋다고 생각함",5
플랫폼 활용을 위한 교육훈련,0
정책홍보 영상 등을 상시 시청하고 관심있는 사람은 의견도 제시할 수 있는 방안 마련이 되어야 함,1
"도민에게 직접 다가가는 플랫폼인만큼 도민들이 어떠한 것을 원하는지 구체적인 정보 공유와
다양한 컨텐츠 제공을 위한 기본적인 플랫폼 활용 역량",4
SNS를 통한 부서업무 적극알림 및 민원처리 기능 강화,2
논술. 토론 중심의 교육훈련,7
sns이용 교육훈련,7
정책소통을 위한 적절한 소통플랫폼 구축,0
정책소통플랫폼에 대한 정확하게 이해할수 있는 교육훈련이 필요합니다.,8
제대로 일하기 위한 인력 지원 필요,6
정책소통플랫폼 운영 필요성에 대한 공감,6
블로그 등 소통의 장을 만들 수 있는 역량을 기를 수 있도록 외부나 내부 교육훈련강사를 활용한 교육훈련과 블로그 활용 등 업무 추진에 성과를 낸 직원에 대해서는 승진 또는 포상금 등 인센티브 제공,5
최대한 수요자 입장에서 판단할 것과 담당자마다 답변이 다르면 안됨,4
"풀랫폼에 제시되는 정책이 도정에 접목 가능한지를 판단할수 있는 분야별 전문성교육훈련과
플랫폼 운용 담당자 지정 ",3
정책소통의 필요성에 대한 인식개선교육훈련,7
담당업무에 집중할 수 있으면 정책소통플랫폼도까지 잘 이어질 것 같습니다.,1
소통성과 가점 부여,1
인센티브 부여 ,3
"정책분야별 고객참여 우수 사례 교육훈련을 통한 마인드 개선
업무별 고객참여 방식 등 기술적인 부분 교육훈련",2
부서 이기주의 탈피(민원 편의 위주),1
"부서, 담당 내 갑질근절",1
홍보,4
"SNS활용과정, 동영상 및 사진 촬영 편집과정",0
정책 수립 관련 절차의 간소화,8
현장 중심의 교육훈련,7
익명게시판 활용,5
부서 인력 충원 필요,6
.,5
"자유로운 의사소통..
일방적인 상하 통보가 아닌",5
"모든 직원들에게 정책소통의 중요성을 인식시키는 교육훈련이 필요함.
",8
주기적이고 지속적인 교육훈련,7
"ㅇ 교육훈련 : 필요성, 목적, 성공사례, 시스템 사용법
ㅇ 지원 : 인센티브(국외여행)",3
접근이 용이한 플랫폼 개발과 익명의 의견제시,0
"홍보 기획, 홍보 방식 , sns 운영 방법 등",4
업무과부하가 되지 않도록 과도한 자료 요구 금지 등,1
"직장내 상하간, 동료간 소통 방법(플랫폼 활용 방법 포함) 등에 대한 정기적인 교육훈련(강의 등)필요 ",4
.,5
정책소통플랫폼의 구체적인 내용과 직원들이 해야하는 구체적인 부분을 명확하게 인식시킬수있는 교육훈련이 필요함. ,8
 -,5
정책 업무이해와 모바일 참여방법교육훈련지원,1
행정선진국들의 밴치마킹,0
#NAME?,9
정책소통 홍보 교육훈련,4
정책제공 서비스 마인드 교육훈련,7
네,5
직원의 역량이 우선시 되어야 하므로 정책에 대한 기초지식(신지식)의 습득과 훈련 프로그램의 준비,7
.,5
"말씀하시는 육은 한두번으로 끝내야합니다.지속적인 교육훈련실시는 단순 의무감으로 작용하여 직원 부담으로 작용합니다.
정책소통플랫폼 실시이전에 직원간 소통부터 해결해야할 것입니다.
그러하기 위해서는 직원간 자유로운 토론으로 좋은 의견을 낼 수 있는 기회를 제공해야하며, 
좋은 정책 제공 시 담당별 직원 인센티브가 강력하게 주어져야 할 것입니다. 
인센티브 없는 정책은 직원들을 수동적으로 이끌것입니다. ",3
직원들부터 제도적 공감을 이끌어 낼 수 있도록 충분한 홍보,4
혁신업무,1
" 기존 업무를 하는 직원들이 소통결과를 반영한 새로운 업무를 할수 있는 시간이 부족하므로, 전문관 제도의 파격적 가점(해봐야 시간만 뺏긴다면 소극적일수밖에 없음) 또는 국단위 전담 추가인력을 고용하여 충분한 시간을 가지고 실국내 조정 및 도민소통을 하는 것이 필요하겠음. 별도 조직구성은 기존 현안부서의 시간만 빼앗는 조직으로 전락하게 될 우려가 있으므로 부정적 영향을 줄 것임",6
"내가 도민들에게 직접 정책에 대해 홍보한다는 마음으로 능동적으로 참여할 수 있는, 마인드에 대한 교육훈련 및 (부득이하게 따르는)인센티브 지원이 필요하다고 생각함",5
.,5
플랫폼 사용법 등,1
11,1
"현장중심의 실무업무와 경험이 필요함
현재는 지시업무 및 업무보고 자료 및 제출자료 작성 등 과부하로 본연의 업무는 할 여력이 없음",1
플랫폼 구성 및 사용에 관한 교육훈련,7
직장에서 받는 스트레스를 털어냄과 살믜 여유를 가질 수 있는 교육훈련 발굴 ,7
블로그나 SNS등을 활용할도록 스마트폰 교육훈련이 필요합니다,5
필요성과 방법에 대한 교육훈련 필요,7
