s1,s2,s3,s4,s5,s6,내용
"1. 효과적인 홍보방안에 관한 교육훈련
2. (특히 사업부서의 경우) 장기적으로 부서별로 특화된 소통담당직원 지원이 있다면 좋지 않을지?
","1. 상시적인 정책 이슈사업 발굴 및 반영 시스템 구축
- 예산 편성시 짧은 기간동안에 의무적 정책발굴을 강요하기 보다는 상시적으로 정책을 발굴하여 도정에 반영하되 도민, 관련 전문가 등이 참여한
   사전 의견수렴 필요
2. 신규 정책 발굴 이후 관리체계 구축
  - 신규 정책 반영 당시에는 그러한 정책이 필요했으나, 이후 여건 변화로 인해 필요성이 낮은 경우 등에 대한 근평체계 도입",평소 기회가 적은 부서장과의 대화 ,피근평자는 대면면담에 부담을 가지고 있어 온택트 성과면담 시스템 개발 필요,지금의 성과 근평은 부서장과 상급자들만의 근평과만 연결되고 하급직급의 각 개인의 근무근평과 일치되어 연결되는 것이 보여지지 않음. ,"인사제도는 구성원들이 공개하고 공감할 수 있어야함. 하지만 역량과 성과보다는 연공서열 및 자리에 연연하는 인사로 인해 전혀 공감할 수가 없음. 즉, 역량과 무관하게 승진자리에 전보·보직되면 당해 또는 다음인사에서 승진한다는 인식이 강하게 남아있는 현 인사관리체계에서는 개인의 역량계발이나 업무수행역량 향상을 기대하기 어려움.
예로, 승진과 관련하여 승진심사위원회를 구성하지만 누가 위원이었으며, 어떤것에 중점을 두고 심사를 했는지를 모르는 현상황에서 심사대상권에 포함되는 당사자는 다음 심사를 위해 어떤 준비와 보완을 해야하는지 모르는 상황이므로 결국 자리에 연연하게 되는 것임. 청탁 등의 인사비리 예방이 목적이라면 승진심사 결과 발표 시 심사위원들을 공개하고 개인별 심사소감을 공개하면 좋을 것 같음. 또한 척결해야할 문제점으로는 심사결과 발표이전에 그 결과가 알음알음 비공개적으로 사전에 새어 나가는 문제가 종종 발생하는데 이것은 인사부서의 100% 책임이라고 생각함. 근절해야할 최대 문제점임",인사관리제도에 공개가 가능한 부분은 공개를 통해서 구성원들의 공감을 얻어야 함께 하는 인사관리가 될 것입니다.
직무수행에 대한 전문성 함양(잦은 인사이동과 업무경험 및 역량을 무시한 인사제도 개선),도민이 체감하는 성과를 위해서는 도민이 정책에 직접 참여하는 과정 필요,직원과 평상시 소통과 이해를 하면서 자연스럽게 묻고 의견 듣는 과정이 좋았습니다 ,구체적인 성과에 대한 피드백이 구체적으로 이뤄졌으면 합니다.,"성과를 측정할 수 있는 업무와 없는 업무, 곤란한 업무 등이 있을 것인데 이에 따른 유형별 성과관리제도 마련이 필요할 것임.",임기제가 너무 많음,.
"플랫폼 활용이 귀찮고 힘든 일이 되지 않게 홍보관련 직원 인센티브를 적극 제공하고
교육훈련은 실제 활용사례와 유용성을 간부교육훈련때 활용 ","온라인 상의 사업별 기획단계부터 도민 정책 방향, 건의 및 제안 등 참여 과정이 필요함",성과에 대한 고민을 상사와 직원이 함께 하였음,"업무를 벗어난 목표도 설정하고 근평하는 제도 필요
담당업무를 완벽히 수행해야 성과가 나오는 것이 아님
- 예) 성과목표 : 업무 관계 기업들 면담 20회 하겠다 ",.,1. 부서간 업무협조를 하다보면 서로 부서가 바껴도 매번 마주치는 직원들이 많음(일 좀 한다 싶음 계속 유사한 부서로 전보됨),"인맥, 인맥에 얽메이지 않고 공정하되 오래된 연공서열의 공무원이 진급을 못하는 경우가 없도록 다소 배려가 필요하다고 봄-일시적으로 선호부서·보직 및 기회를 잡은 업무로 성과거양으로 진급하는 케이스는 잘 검토가 필요함 "
소통에 적극적으로 임하는 자세,도민들이 건의한다고 다 들어 줄 수는 없으니 위원회를 통한 충분한 검토 및 결정이 필요,성과에 대한 이러한 과정으로 상담을 할 수있는게 필요,"성과면담을 아직 해본적이 없으며, 
성과위주의 업무추진만 요구한다면 성과가 나오지 않는 일상업무나 서무 업무 등에 소홀해 질수 있으며, 
직원간에도 개인주의에 더 빠질수 있으므로 보완이 필요함",업무(정책)추진 과장에서 서로간의 소통이 필수. 실행가능한 성과 계획 수립 등을 위한 다양한 의견 수렴등이 필요함,"전보제한2년2년 준수 요망(예, 2~3년 이내에 2~3번 전보 및 전보예외 대상 등) ",특별한 사유가 없이 행정직 자리 보전만을 위한 복수직 전보·보직을 기술직렬 전보·보직으로 변경 필요
.,.,개인의 성과에 대해 자세하게 안내하고 상사가 원하는 방향에 맞추기 위해 노력,"연공서열 중심의 관료조직내에서 성과관리에 대한 각종 시책이 만들어 지고는 있으나 대부분 형식적이고 소모적이라고 판단됨.
각 개개인 일률적인 성과관리는 없애고, 본인 추진업무에 대한 성과가 있다고 판단되면 직접 본인이 성과보고서를 만들어 성과관리위원회 등의 심사 또는 근평을 받도록 했음함, 우수성과자에 대해서는 승진가점, 호봉승진, 성과금 S등급, 희망전보전보 발령 등 인센티브 부여 ","공무원의 성과 관리는 자동차 판매 영업사원의 구체적인 확정된 내용처럼 되기가 어렵기 때문에 직렬별 비교하기가 어렵고 업무내용을 계량화하여 순위를 매기기가 어려운데 선호부서·보직만 우위하고 주변 부서는 아예 취급을 안함, 집행하는 부서의 우의에 의하여 진행되어 특수 직렬만 승승장구하고 기술직렬은 손해를 볼 수 있음",투명 전보·전보·보직 : 5급이하 전보제한2년 예외없이 전보제한2년2년 기준 준수,"직렬 및 직급별 승진소요 연수가 차이가 많이 나서 상대적 박탈감, 소외지수가 높음
 - 정기인사 시 직렬 및 직급별 승진소요 연수 업무관리시스템에 공개"
직급별로 승진자 교육훈련과정에 정책소통과 관련한 교육훈련과정 반영,성과를 중장기적인 사업과 단기적인 사업을 구분하여 도민들과 쉽게 소통하고 참여할수 있는 장을 만드는 것,"고충상담, 교감",성과면담의 의미가 없다. 성과면담시 이에 대한 신뢰가 형성되지 않은 상태에서는 이 상담은 의미가 없다고 판단된다.,"성과관리 제도는 개인별로 업무분장이 적정하다는 것을 전제로 시행하고 있는 것으로 생각되나 현재는 우리도 업무분장 연공서열을 볼 때 적정한 분장이 이루어 지지 않는 것 같음
따라서 각 개인별로 적정한 성과를 내기 위한 업무분장이 제대로 되고 있는지부터 검토할 필요가 있다고 생각됨. ",다양한 업무경험을 할 수 있는 폭넓은 전보 필요 ,"사람은 상대적이며, 사람의 역량은 환경에 따라 역량을 맘껏 발휘할 수도 수축될 수도 있습니다.
전보 대상자 본인의 의견이 최 우선으로 하고 상사가 아닌 동급 직원들의 의견 수렴을 감안하여 전보인사를 했으면 합니다"
정책소통플랫폼을 통해 드러난 현장문제 해결에 적극적으로 나설 수 있도록 부서 및 상사의 적극적인 지원 및 협조 ,"장기적 성과와 단기적 성과가 있을 수 있겠으나 급하게 추진해서 성과를 낼 경우, 성과 목표를 시행가능한것을 적정한 것을 선정 시행","부족한 부분에 대한 지적보다는 따스한 말로 칭찬과 격려를 해주셨던 점
","성과면담이란 하늘에 뜬 구름일 뿐. 이미 20년 전에 성과근평과 그에 연동한 연봉제를 도입한 기업에서도 제대로 된 성과근평은 하지 못하고, 결국 호봉제 월급의 성격을 반영한 급여체계로 회귀했음. 지금 추진하는 '성과' 관련된 제도가 의도하는 효과를 행정영역에서 실현가능하다고 생각한다면, '행알못'인 것.",구태여 성과면담이라는 명칭을 사용하지 않더라도 부서장은 언제나 부서원의 업무추진상항을 지켜보다 미진한 부분은 부모의 입장에서 같이 헤쳐나가면 된다고 생각합니다.,근평 평정제도로서 업무를 성과중심으로 근평될수 있도록 개량화 필요,자신의 업무를 묵묵히 최선을 다하는 직원들이 더 열심히 일할 수 있는 인사관리제도를 만들어 주세요.
정책과 고객의 소통문제,"도민의 의견을 정책에 반영하는 것도 중요하지만 그로 인하여 생기는 폐해도 있음으로 적정한 참여 수준 또는 방법에 대한 심도 있는 검토가 필요함.
*폐해예시
 - 순수한 도민의 의견보다는 이권단체의 이익을 위한 정책이 될 수 있음
 - 다양한 의견을 모두 반영하려다 보면 의사 결정이 되지 않거나 애초 정책목적과 전혀 다른 결론 도출",.,성과관리 제도의 구체적이고 체계적인 근평지표 마련 필요,"ㅇ 성과면담은 개인 고충이나 성과를 근평하고 있지만 형식에 불가

","인사관리 전반의 과정이 투명하게 공개되지 못하고 있음. 근평, 전보, 승진등 인사결정후에는 당초 세웠던 기준의 예외사항등은 사유를 공개하여야 할 것입니다.","ㅇ 인사는 어떤 방법으로 운영하던 직원들의 불만이 있는 것 같습니다.
ㅇ 하지만 공감할 수 있는 시스템이 반드시 필요하다 봅니다.
ㅇ 묵묵히 일하는 직원들이 상처받지 않고 일할 수 있는 분위기를 만들어 가는 것이 혁식이라 생각합니다.
   "
정책 기획과 홍보 과정,도민 체감에만 집중하기 보다는 모든 업무를 공정하고 공평하고 누구나 고개를 끄덕일 수 있다면 도민체감 지수는 자연스럽게 서서히 상승할듯 합니다.,소통,"성과면담 제도의 취지는 공감합니다. 그러나 실제적인 성과목표 설정 성과를 이루기 위한 노력 그리고 피드백할 수 있는
장치 마련이 필요하다고 생각합니다.
",없음,성과급을 결정하는 방식은 다면근평 결과에 따르는데 사실상 잘 모르는 직원을 근평하기는 어려움.(정보 부족),없음
플랫폼을 전담 모니터링하는 직원을 지정 운영이 필요,도민과의 소통할 수 있는 기회가 연간 정기적으로 있을 수 있도록 마련,독립된 장소에서 사담을 통한 편안한 분위기 우선 조성으로 효과적인 성과면담 시행,"성과면담제도를 계속 시행하고 있지만, 이게 무슨 의미가 있냐는 생각을 함
불필요한 절차만 하나 더했졌다는 생각임.
완전히 필요없음",별도 없습니다.,.,별도 없습니다.
.,"ㅇ 엄마가 행복해야 가정이 행복하다는 말이 있습니다.

ㅇ 공무원이 일할 수 있는 분위기가 자연스럽게 만들어 진다면 도민의 대한 서비가 자동적으로 높아질 것이며 도민의 행복 체감지수는 높아질 것입니다.

ㅇ 먼저 공무원이 성과를 낼 수 있는 분위기 조성이 필요함",나의 현재의 상황과 앞으로 나아가야 할 방향을 알게되었음,상급자와 하급자간의 자유로운 면담분위기 조성 필요,"조직과 개인의 발전에 별 도움이 되지 않는다 생각
각 개개인 일률적인 성과관리는 없애고, 본인 추진업무에 대한 성과가 있다고 판단되면 직접 본인이 성과보고서를 만들어 성과관리위원회 등의 심사 또는 근평을 받도록 했음함, 우수성과자에 대해서는 승진가점, 호봉승진, 성과금 S등급, 희망전보전보 발령 등 인센티브 부여 ","전보 전보·전보·보직제도: 업무량은 각각 부서 고유 업무에 따라 거의 유사하나 사업부서와 지원부서간의 업무 선호도의 차이(근평 관련)로 지원부서로 선호하고
전보·보직(주무과·주무계 등)이 승진과 연계되는 점이 있어 이런 문제점 해결을 위해 부서별 성과관리로 근평순위를 인사과에서 순위를 매기는 방법","근평, 전보 등 인사는 어느 업무보다도 객관적으로 이루어져야만 상대적 박탈감이 없을 것이며,
그러기 위해서는 자신의 현위치를 정확하게 알고 있어야 결과에 대해 이해가 될 것이기 때문에
개인의 현위치에 대한 공개해주는 것도 중요할 것임"
"우선 정책(업무)에 대한 이해, 업무 추진 마인드 향상",청년 등 특정인을 강조하지 않는 보편적 대상에 대한 기존 사업 지속 추진(기존사업 축소로 인한 반발),부서장이 나의 업무에 대해 관심을 가지고 알고 있다는 사실이 좋았음,"성과 면담은 조직구성원 모두에게 동일한 기준을 적용시켜야 하며, 상호 존중 배려속에 소통되어야 함",정기적인 성과면담보다는 수시로 부서장과 소속직원들간의 소통(회식 등)을 할 수 있도록 부서내 분위기 조성,특별한 성과의 결과도 없으면서 성과급을 집행하는 부서에서 우위를 점령 혜택을 봄   ,"특별한 성과자(신규정책, 사업 등 제안으로 국비 1000억 이상 확보, 지역발전이나 경제활성화 등 가시적인 성과자)에 대한 인센티브(특별승진, 호봉승진 등) 대폭 강화"
#NAME?,"도민이 알기쉽고, 직접 이익되는 사업과 체감을 내기위한 기반이 되는 사업을 구분하여 성과 측정이 필요함",부서장이 공적을 판단하기 때문에 과장된 성과로 포장하지 않음,근평 등으로 일원화 필요,.,"ㅇ 교육훈련훈련-각 개인이 필요한 교육훈련보다는 필수 법정교육훈련 이수, 승진을 위한 교육훈련점수 충족 등 교육훈련을 위한 교육훈련이 너무 많음
ㅇ 임기제 임용제도(개방형 포함)-임기제 임용 필요성에 대한 면밀한 검토 필요
",인사관리제도에 대한 제안 및 건의 의견 없음.
보고를 위한 보고가 직원들의 업무를 가중 시키듯이 정책소통플랫폼만을 위한 일로 직원들의 업무부담을 가중시키지 않도록 플랫폼 설계시 면밀한 검토 필요,정책관리로 인해 업무가 가중되지 않도록 가능하면 심플하게 관리가 되었으면 좋겠습니다. ,소통의 장,겉으로 드러나는 성과를 가지고 근평하는건 맞지않음,"괜히 성과관리, 성과 중심, 이런다고 안 그래도 일 많은데 더 일 많아지게 들쑤시지 말고, 자기 할 일 딱딱 알아서 할 수 있게 해주고, 그에 대한 근평은 간부급 이상에서 외부의견 수렴.통합해서 업무 목표 설정 및 지시 과정에서 업무 방향으로 반영되게끔 하면 되는 것. Simple is the best.","중앙부서 인사인사교류, 인사인사교류 확대하여 승진기회 제공
(ex 철도, 공항, 조선, 도로, 하천, 도시계획분야) ",.
"모여서 토론 위주 보다는 벤치마킹과 교육훈련을 병행 필요, 적극적인 예산 지원 등","실무부서 인력, 예산 대폭확대, 지원부서 대폭 축소, 명확하고 알기쉬운 업무지시와 정책추진 ",..,.,"성과관리 제도 및 새로운 정책 추진을 위해서는 승진과 함께할 수 밖에 없다고 생각합니다.
공무원이라는 직장은 명예도 금전적익 혜택도 아니고 오로지 승진으로 보상을 받습니다.
승진이라는 확실한 인센티브만이 우수한 성과를 도출할 수 있다고 생각합니다.",공정·공평 인사를 기대하는 것이 그 이유입니다.,"근평이나 인사 관련 규정이나 지침을 재 정비할 필요는 있다. 하지만 잘못된 연공서열을 고치기 위해 선의의 피해자가 생기지 않도록 이에 대한 직원들의 의견 수렴이 필요하다. 다수의 사람들이 규정에 오류가 있다면 이에 대해서 인사과에서는 적극적으로 수정해야 한다고 생각한다.

근평이나 인사 관련한 이의신청은 인사과에서 접수해서는 안된다. 이원적으로 운영해야 신청자들의 부담을 조금은 줄일 수 있을 것이라 생각한다."
